mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,weight_scaled,acceleration_scaled,Age of Car
18.0,8,307.0,130.0,3504,12.0,70,1,0.6308698741675456,-1.2954983442942447,55
15.0,8,350.0,165.0,3693,11.5,70,1,0.8543329711977774,-1.477037792582784,55
18.0,8,318.0,150.0,3436,11.0,70,1,0.5504704530138114,-1.6585772408713233,55
16.0,8,304.0,150.0,3433,12.0,70,1,0.5469234197276172,-1.2954983442942447,55
17.0,8,302.0,140.0,3449,10.5,70,1,0.5658409305873193,-1.8401166891598626,55
15.0,8,429.0,198.0,4341,10.0,70,1,1.620492161015715,-2.0216561374484017,55
14.0,8,454.0,220.0,4354,9.0,70,1,1.635862638589223,-2.3847350340254803,55
14.0,8,440.0,215.0,4312,8.5,70,1,1.586204172582505,-2.56627448231402,55
14.0,8,455.0,225.0,4425,10.0,70,1,1.7198090930291514,-2.0216561374484017,55
15.0,8,390.0,190.0,3850,8.5,70,1,1.0399610465086049,-2.56627448231402,55
15.0,8,383.0,170.0,3563,10.0,70,1,0.7006281954626973,-2.0216561374484017,55
14.0,8,340.0,160.0,3609,8.0,70,1,0.755016039184341,-2.747813930602559,55
15.0,8,400.0,150.0,3761,9.5,70,1,0.9347323923515116,-2.203195585736941,55
14.0,8,455.0,225.0,3086,10.0,70,1,0.13664990295782647,-2.0216561374484017,55
24.0,4,113.0,95.0,2372,15.0,70,3,-0.7075440191563827,-0.206261654563009,55
22.0,6,198.0,95.0,2833,15.5,70,1,-0.16248323751121402,-0.02472220627446969,55
18.0,6,199.0,97.0,2774,15.5,70,1,-0.23224155880636577,-0.02472220627446969,55
21.0,6,200.0,85.0,2587,16.0,70,1,-0.4533399669791348,0.1568172420140696,55
27.0,4,97.0,88.0,2130,14.5,70,3,-0.993671370909378,-0.3878011028515483,55
26.0,4,97.0,46.0,1835,20.5,70,2,-1.3424629773851366,1.790672276610923,55
25.0,4,110.0,87.0,2672,17.5,70,2,-0.35284069053696704,0.7014355868796874,55
24.0,4,107.0,90.0,2430,14.5,70,2,-0.6389680422899623,-0.3878011028515483,55
25.0,4,104.0,95.0,2375,17.5,70,2,-0.7039969858701886,0.7014355868796874,55
26.0,4,121.0,113.0,2234,12.5,70,2,-0.8707075503213139,-1.1139588960057054,55
21.0,6,199.0,90.0,2648,15.0,70,1,-0.3812169568265203,-0.206261654563009,55
10.0,8,360.0,215.0,4615,14.0,70,1,1.9444545344881146,-0.5693405511400875,55
10.0,8,307.0,200.0,4376,15.0,70,1,1.6618742160213136,-0.206261654563009,55
11.0,8,318.0,210.0,4382,13.5,70,1,1.6689682825937018,-0.7508799994286268,55
9.0,8,304.0,193.0,4732,18.5,70,1,2.082788832649687,1.064514483456766,55
27.0,4,97.0,88.0,2130,14.5,71,3,-0.993671370909378,-0.3878011028515483,54
28.0,4,140.0,90.0,2264,15.5,71,1,-0.8352372174593723,-0.02472220627446969,54
25.0,4,113.0,95.0,2228,14.0,71,3,-0.8778016168937022,-0.5693405511400875,54
25.0,4,98.0,104.46938775510205,2046,19.0,71,1,-1.0929883029228142,1.2460539317453052,54
19.0,6,232.0,100.0,2634,13.0,71,1,-0.3977697788287597,-0.9324194477171661,54
16.0,6,225.0,105.0,3439,15.5,71,1,0.5540174863000055,-0.02472220627446969,54
17.0,6,250.0,100.0,3329,15.5,71,1,0.4239595991395531,-0.02472220627446969,54
19.0,6,250.0,88.0,3302,15.5,71,1,0.3920362995638057,-0.02472220627446969,54
18.0,6,232.0,100.0,3288,15.5,71,1,0.3754834775615663,-0.02472220627446969,54
14.0,8,350.0,165.0,4209,12.0,71,1,1.4644226964231721,-1.2954983442942447,54
14.0,8,400.0,175.0,4464,11.5,71,1,1.7659205257496755,-1.477037792582784,54
14.0,8,351.0,153.0,4154,13.5,71,1,1.399393752842946,-0.7508799994286268,54
14.0,8,318.0,150.0,4096,13.0,71,1,1.3308177759765256,-0.9324194477171661,54
12.0,8,383.0,180.0,4955,11.5,71,1,2.346451640256786,-1.477037792582784,54
13.0,8,400.0,170.0,4746,12.0,71,1,2.0993416546519263,-1.2954983442942447,54
13.0,8,400.0,175.0,5140,12.0,71,1,2.565185359572092,-1.2954983442942447,54
18.0,6,258.0,110.0,2962,13.5,71,1,-0.009960806204865311,-0.7508799994286268,54
22.0,4,140.0,72.0,2408,19.0,71,1,-0.6649796197220528,1.2460539317453052,54
19.0,6,250.0,100.0,3282,15.0,71,1,0.368389410989178,-0.206261654563009,54
18.0,6,250.0,88.0,3139,14.5,71,1,0.19931415768058988,-0.3878011028515483,54
23.0,4,122.0,86.0,2220,14.0,71,1,-0.8872603723235533,-0.5693405511400875,54
28.0,4,116.0,90.0,2123,14.0,71,2,-1.0019477819104976,-0.5693405511400875,54
30.0,4,79.0,70.0,2074,19.5,71,2,-1.0598826589183354,1.4275933800338445,54
30.0,4,88.0,76.0,2065,14.5,71,2,-1.0705237587769179,-0.3878011028515483,54
31.0,4,71.0,65.0,1773,19.0,71,3,-1.4157683319664824,1.2460539317453052,54
35.0,4,72.0,69.0,1613,18.0,71,3,-1.6049434405635041,0.8829750351682267,54
27.0,4,97.0,60.0,1834,19.0,71,2,-1.343645321813868,1.2460539317453052,54
26.0,4,91.0,70.0,1955,20.5,71,1,-1.2005816459373704,1.790672276610923,54
24.0,4,113.0,95.0,2278,15.5,72,3,-0.8186843954571329,-0.02472220627446969,53
25.0,4,97.5,80.0,2126,17.0,72,1,-0.9984007486243035,0.5198961385911481,53
23.0,4,97.0,54.0,2254,23.5,72,2,-0.8470606617466861,2.879908966342159,53
20.0,4,140.0,90.0,2408,19.5,72,1,-0.6649796197220528,1.4275933800338445,53
21.0,4,122.0,86.0,2226,16.5,72,1,-0.880166305751165,0.3383566903026089,53
13.0,8,350.0,165.0,4274,12.0,72,1,1.5412750842907124,-1.2954983442942447,53
14.0,8,400.0,175.0,4385,12.0,72,1,1.672515315879896,-1.2954983442942447,53
15.0,8,318.0,150.0,4135,13.5,72,1,1.3769292086970497,-0.7508799994286268,53
14.0,8,351.0,153.0,4129,13.0,72,1,1.3698351421246613,-0.9324194477171661,53
17.0,8,304.0,150.0,3672,11.5,72,1,0.8295037381944182,-1.477037792582784,53
11.0,8,429.0,208.0,4633,11.0,72,1,1.9657367342052796,-1.6585772408713233,53
13.0,8,350.0,155.0,4502,13.5,72,1,1.810849614041468,-0.7508799994286268,53
12.0,8,350.0,160.0,4456,13.5,72,1,1.7564617703198244,-0.7508799994286268,53
13.0,8,400.0,190.0,4422,12.5,72,1,1.7162620597429572,-1.1139588960057054,53
19.0,3,70.0,97.0,2330,13.5,72,3,-0.7572024851631008,-0.7508799994286268,53
15.0,8,304.0,150.0,3892,12.5,72,1,1.089619512515323,-1.1139588960057054,53
